"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"08:08:36.081, 08-Jan-2021","0.0","0.0","134,217,760","38,838,856"
"08:08:37.067, 08-Jan-2021","1.6","0.0","134,217,760","38,838,856"
"08:08:38.066, 08-Jan-2021","0.3","0.0","134,217,760","38,838,856"
"08:08:39.068, 08-Jan-2021","0.7","0.0","134,217,760","38,838,856"
"08:08:40.070, 08-Jan-2021","0.4","0.0","134,217,760","39,887,432"
"08:08:41.071, 08-Jan-2021","0.0","0.0","134,217,760","39,887,432"
"08:08:42.072, 08-Jan-2021","1.1","0.0","134,217,760","39,887,432"
"08:08:43.089, 08-Jan-2021","1.1","0.0","134,217,760","39,887,432"
"08:08:44.095, 08-Jan-2021","1.9","0.0","134,217,760","40,936,008"
"08:08:45.096, 08-Jan-2021","2.4","0.0","134,217,760","41,984,584"
"08:08:46.096, 08-Jan-2021","0.7","0.0","134,217,760","41,984,584"
"08:08:47.934, 08-Jan-2021","22.4","0.0","134,217,760","60,858,952"
"08:08:48.175, 08-Jan-2021","0.0","0.0","134,217,760","60,858,952"
"08:08:49.192, 08-Jan-2021","2.4","0.0","134,217,760","60,858,952"
"08:08:50.169, 08-Jan-2021","1.8","0.0","134,217,760","60,858,952"
"08:08:51.170, 08-Jan-2021","0.3","0.0","134,217,760","61,907,528"
"08:08:52.171, 08-Jan-2021","0.8","0.0","134,217,760","61,907,528"
"08:08:53.172, 08-Jan-2021","0.0","0.0","134,217,760","61,907,528"
"08:08:54.174, 08-Jan-2021","0.0","0.0","134,217,760","61,907,528"
"08:08:55.181, 08-Jan-2021","0.7","0.0","134,217,760","61,907,528"
"08:08:56.210, 08-Jan-2021","1.5","0.3","134,217,760","15,616,000"
"08:08:57.212, 08-Jan-2021","0.3","0.0","134,217,760","16,664,576"
"08:08:58.234, 08-Jan-2021","1.2","0.0","134,217,760","16,664,576"
"08:08:59.203, 08-Jan-2021","0.0","0.0","134,217,760","16,664,576"
"08:09:00.357, 08-Jan-2021","0.6","0.0","134,217,760","17,713,152"
"08:09:01.201, 08-Jan-2021","0.8","0.0","134,217,760","17,713,152"
"08:09:02.244, 08-Jan-2021","0.8","0.0","134,217,760","17,713,152"
"08:09:03.201, 08-Jan-2021","0.8","0.0","134,217,760","17,713,152"
"08:09:04.238, 08-Jan-2021","0.2","0.0","134,217,760","17,713,152"
"08:09:05.201, 08-Jan-2021","1.5","0.0","134,217,760","17,713,152"
"08:09:06.202, 08-Jan-2021","0.4","0.0","134,217,760","18,761,728"
"08:09:07.203, 08-Jan-2021","0.0","0.0","134,217,760","18,761,728"
"08:09:08.204, 08-Jan-2021","0.0","0.0","134,217,760","18,761,728"
"08:09:09.374, 08-Jan-2021","2.3","0.0","134,217,760","19,810,304"
"08:09:10.229, 08-Jan-2021","0.0","0.0","134,217,760","20,858,880"
"08:09:11.231, 08-Jan-2021","1.5","0.0","134,217,760","20,858,880"
"08:09:12.230, 08-Jan-2021","0.4","0.0","134,217,760","20,858,880"
"08:09:13.230, 08-Jan-2021","0.0","0.0","134,217,760","20,858,880"
"08:09:14.242, 08-Jan-2021","0.0","0.0","134,217,760","20,858,880"
"08:09:15.235, 08-Jan-2021","0.0","0.0","134,217,760","21,907,456"
"08:09:16.235, 08-Jan-2021","0.0","0.0","134,217,760","21,907,456"
"08:09:17.238, 08-Jan-2021","2.6","0.0","134,217,760","21,907,456"
"08:09:18.237, 08-Jan-2021","0.8","0.0","134,217,760","21,907,456"
"08:09:19.242, 08-Jan-2021","0.3","0.0","134,217,760","21,907,456"
"08:09:20.240, 08-Jan-2021","1.1","0.0","134,217,760","22,956,032"
"08:09:21.241, 08-Jan-2021","0.3","0.0","134,217,760","22,956,032"
"08:09:22.313, 08-Jan-2021","0.3","0.0","134,217,760","24,004,608"
"08:09:23.258, 08-Jan-2021","0.0","0.0","134,217,760","24,004,608"
"08:09:24.257, 08-Jan-2021","0.0","0.0","134,217,760","24,004,608"
"08:09:25.260, 08-Jan-2021","0.0","0.0","134,217,760","24,004,608"
"08:09:26.269, 08-Jan-2021","0.4","0.0","134,217,760","25,053,184"
"08:09:27.266, 08-Jan-2021","1.1","0.0","134,217,760","25,053,184"
"08:09:28.270, 08-Jan-2021","0.0","0.0","134,217,760","25,053,184"
"08:09:29.272, 08-Jan-2021","0.0","0.0","134,217,760","25,053,184"
"08:09:30.266, 08-Jan-2021","0.0","0.0","134,217,760","26,101,760"
"08:09:31.273, 08-Jan-2021","0.0","0.0","134,217,760","26,101,760"
"08:09:32.271, 08-Jan-2021","0.0","0.0","134,217,760","26,101,760"
"08:09:33.269, 08-Jan-2021","0.4","0.0","134,217,760","27,150,336"
"08:09:34.269, 08-Jan-2021","0.0","0.0","134,217,760","27,150,336"
"08:09:35.271, 08-Jan-2021","0.0","0.0","134,217,760","27,150,336"
"08:09:36.271, 08-Jan-2021","0.8","0.0","134,217,760","27,150,336"
"08:09:37.272, 08-Jan-2021","0.3","0.0","134,217,760","27,150,336"
"08:09:38.273, 08-Jan-2021","0.3","0.0","134,217,760","28,198,912"
